"","field","ini_year","cover_metacommunity_ini","cover_metacommunity_mean","gamma_stab","alpha_stab","sp_stab","species_stab","sp_asynchrony","spatial_asynchrony","pop_synchrony"
"1",1,1958,3627.3,5586.95,4.07866537580104,3.28442379025877,0.630014040323584,0.638030328309691,5.14775496481502,1.24182067731268,0.530305303798879
"2",1,1960,4456.8,5838.725,5.21040089656984,3.42654352495091,0.663784568528615,0.669145010476111,5.12077871209539,1.52059965344946,0.484664290409857
"3",1,1962,5074.5,6328.675,4.95923343903901,3.1891484908714,0.683122797862948,0.682470189752873,4.67294914672568,1.55503371926214,0.46466675813212
"4",1,1964,5359.8,6718.2125,5.11402301673664,3.16644601964475,0.716065812064298,0.717772606087536,4.41148908831244,1.61506717152576,0.450890694677082
"5",1,1966,5444.1,6900.25,5.77907141746042,3.32192209478957,0.754207073512212,0.758244185510318,4.38107163664412,1.73967698596089,0.444542652469007
"6",1,1968,5659.5,7435.825,5.34164164583761,3.30973309728879,0.818943931630061,0.817691789279753,4.04765357886753,1.6139191556604,0.44896566027634
"7",1,1970,7728.2,7931.65,5.76728413173805,3.38638516047452,0.893034353193277,0.886172506456607,3.82136111851981,1.70307979111564,0.420230173116991
"8",1,1972,7345.4,8064.4625,5.74458941082829,3.45661305266817,1.00606619957839,1.01026208433927,3.42150131758025,1.66191278089227,0.385732309945012
"9",1,1974,5641.5,8260.95,5.90569224768357,3.49662713789197,1.16119644472727,1.16397679976583,3.00403507921758,1.68896825849266,0.330964087472718
"10",1,1976,8376.4,8542.725,8.98102853280687,3.97998122098606,1.3274158395877,1.29607681804548,3.07079114877464,2.25655047954768,0.299698891541839
"11",1,1978,8190.8,8601.1,9.01717642172209,3.95549831269245,1.36692016945067,1.32963120409877,2.97488378769925,2.27965624275143,0.345380623519894
"12",1,1980,6816.1,8580.675,8.8865896082534,3.79580819059738,1.36166981892917,1.32016094627485,2.87526168783296,2.34115876304457,0.351180943584083
"13",1,1982,9728.7,8814.55,13.4951246984265,4.01977725216102,1.37473903348562,1.31942785663012,3.04660632406816,3.35718221480345,0.340530495450083
"14",1,1984,9626.1,8708.175,16.0362773040894,3.91957097356731,1.33724230924851,1.28661996882914,3.04640924944933,4.09133484563347,0.286021174069936
"15",1,1986,8790.7,8426.4375,14.4773904265457,3.89625457773791,1.33260074961401,1.2891104751343,3.02243651951706,3.71571983752432,0.229130996003776
"16",1,1988,8917.3,8182.425,10.4598682750788,3.78049132029972,1.34052989316677,1.28500349818247,2.94200858258122,2.76680129350212,0.200274774345587
"17",1,1990,7895.7,8108.975,11.1204186733396,3.62192172355463,1.30512025513511,1.25093034442646,2.89538241652875,3.07030894704864,0.18253471698562
"18",1,1992,8843.4,8085.7,10.9285359081449,3.51135936958666,1.29912814419208,1.25021060267879,2.80861429431406,3.11233763277023,0.195218308188943
"19",1,1994,8027.4,8198.535,8.92052272213419,3.30587512037916,1.21471191501909,1.16670174994872,2.83352203810825,2.69838466285172,0.220267296532407
"20",1,1996,8687.1,8157.36,8.72383205865333,3.24154935421257,1.15266010398686,1.11356548474528,2.91096428420108,2.69125381272268,0.223556871992554
"21",1,1998,8877.7,7958.235,8.16305469786497,3.04671544877601,1.10938306213997,1.07200306661679,2.842077176506,2.67929671645062,0.223508112304467
"22",1,2000,7372.2,7825.46,8.68190737880176,3.06729301781564,1.08915507924601,1.05022420779081,2.92060780456375,2.83047864301682,0.210110914679328
"23",1,2002,6838.6,7916.585,8.938254736279,3.06080725811898,1.05313333636135,1.02110893376789,2.9975325422182,2.92022789496781,0.19993329130713
"24",2,1966,4930.3,6248.25,4.99192520040492,3.1156690039412,0.653272768085749,0.676659262611453,4.60448733372361,1.60220010344178,0.636730767432629
"25",2,1968,4636,6415.3125,5.6556244906252,3.31977385604553,0.759857126115449,0.777432732157737,4.27017505017009,1.70361739560239,0.558910127889916
"26",2,1970,6620.1,6845.375,6.78706150114369,3.59220076907653,0.915184032876563,0.90613860721517,3.96429502117388,1.88938813208052,0.495410322218486
"27",2,1972,7237.9,6859.8875,6.82088211122386,3.51511776131131,0.947141719777514,0.931611297882145,3.77315922348979,1.94044199209967,0.476967528896344
"28",2,1974,6604.3,6844.4375,6.84433438660148,3.45703863088908,0.970768056796745,0.953365367632122,3.62614245100527,1.97982583285199,0.460544903017581
"29",2,1976,8050.9,6835.25,6.81568875884253,3.36867374629382,1.03070391074053,1.00785061674265,3.3424335812596,2.02325581880439,0.389656609757981
"30",2,1978,6943.8,6820.875,6.93463946927223,3.42522534190002,1.06986090025561,1.04892034135885,3.26547708805296,2.02457905015542,0.321633246599363
"31",2,1980,4962.7,6803.7625,6.92607220646601,3.55711160478886,1.07116592955088,1.06001987987291,3.3557027300425,1.94710567898449,0.297631520268581
"32",2,1982,6266.8,7324.4875,7.5428285786866,3.69120752960486,1.08047410537418,1.05837744691779,3.48760977508959,2.0434582770517,0.300828186265928
"33",2,1984,8076.5,7534.3375,8.48801081220241,3.86987883189479,1.07935497684739,1.05400659512332,3.67158882098077,2.19335312057987,0.315473316733829
"34",2,1986,6736.2,7437.975,8.63025287678627,3.81988272401948,1.11617731177331,1.09836068559781,3.47780357955949,2.25929786339227,0.313575700788307
"35",2,1988,7114.3,7437.25,8.62263988420468,3.75224489057873,1.08924297871924,1.07237614103136,3.49900072093173,2.2979949698525,0.364950654006343
"36",2,1990,6530.8,7700.025,7.33374465847027,3.43914980052072,1.05710484081394,1.02684735496616,3.34923178590071,2.13242954911702,0.368714681288232
"37",2,1992,7935.9,7840.95,8.33653974953161,3.54118585743158,1.06983124878766,1.03956420275903,3.40641381074221,2.35416611416665,0.376247656771257
"38",2,1994,6806.9,7927.728,8.07559343384623,3.43858016915099,1.10167014315079,1.06231815993198,3.23686471609518,2.34852556479442,0.343567209112164
"39",2,1996,9128.5,7990.4905,8.74735213284961,3.41516789595682,1.11544575216059,1.07169747232346,3.18669025928807,2.56132418649329,0.304810999257436
"40",2,1998,7945.6,7769.878,9.63774206857262,3.19693981375497,1.13032987293244,1.09057223945559,2.93143333205592,3.01467735711064,0.256549009770375
"41",2,2000,7305.6,7807.0655,9.49580267237011,3.08604574817058,1.08600453618027,1.04422146699252,2.95535558855993,3.07701293086768,0.217308172601999
"42",2,2002,6730.4,7781.778,9.23496700723745,2.92455052635672,1.04697796673109,1.00993205716492,2.89578938069015,3.15773891543668,0.19904281512541
"43",3,1966,9609.3,7733.575,7.43443710516359,3.78627281437729,0.67875031779768,0.662018821250981,5.71928273462464,1.9635238847379,0.605740554171571
"44",3,1968,7287.1,7348.3875,9.35053161802116,4.17108339849235,0.790739233731387,0.78673948494032,5.30173390090973,2.2417512968935,0.529926258219301
"45",3,1970,6905.8,7356.6375,9.36566487788093,4.22937469213726,0.883937701270324,0.876413973782615,4.82577277252121,2.21443252481092,0.47664619632657
"46",3,1972,7462.6,7415.2625,9.70266923841028,4.06879840195111,0.924725991546017,0.910399381054753,4.46924557136359,2.3846522437085,0.432947273707188
"47",3,1974,8756.6,7298.4875,8.84724411930095,3.90545095871844,0.994054385106937,0.968998953527573,4.03039749888368,2.26535788384452,0.380407712201251
"48",3,1976,8262.4,7142.4125,11.9835450341585,3.80921989750242,1.05783137039754,1.02004134454973,3.73437794247829,3.14593154415048,0.314135059874325
"49",3,1978,6807.7,7009.875,17.7209740006301,3.94888844686623,1.13223444818232,1.10533498173002,3.57257167477467,4.48758536460892,0.269931146733255
"50",3,1980,6777.1,7230.3125,10.8588547687019,3.78541817280417,1.14494346891946,1.11415592775585,3.39756588687619,2.86860110904413,0.266339931401249
"51",3,1982,6527.8,7467.4125,9.28029692839045,3.69246433099029,1.08714570945351,1.0519985605554,3.5099518853342,2.5133071294697,0.25608903639307
"52",3,1984,7353.1,7356.9625,7.42305895218133,3.25139085988709,1.01431370269851,0.994026328137747,3.27093032432893,2.28304109596934,0.2893889942028
"53",3,1986,7374.8,7567.6625,6.54830619638567,3.08368221381627,0.992478859632806,0.961256051861336,3.20797170311194,2.12353470375331,0.276625059636094
"54",3,1988,6528.4,7828.6125,5.89218762567098,3.04425855746324,0.980590656073824,0.947475944532164,3.21301936479918,1.93550827383759,0.279070854114116
"55",3,1990,7508,8217.0625,6.09424349430629,3.10777798731871,0.969304903763902,0.933700358008681,3.32845324590721,1.96096488203914,0.299893343926417
"56",3,1992,7202.1,8625,5.46790039917444,3.08118456084188,0.978573499137025,0.946024014278276,3.25698345320814,1.7746098265793,0.287620848786575
"57",3,1994,8571.2,8879.55,6.01587468832037,3.07593107512215,0.979529569306741,0.956368654837961,3.21626086296535,1.9557898214873,0.280369751620419
"58",3,1996,8673.9,8836.9375,5.92670180314968,3.09468154653036,1.00473190810167,0.98371610891413,3.14590918913223,1.91512493742514,0.26790120374405
"59",3,1998,5644.2,8914.5,5.953039234164,3.10135061732888,1.0767914903921,1.05228484112139,2.94725391465666,1.9194989437509,0.248713328723772
"60",3,2000,9038.7,9541.175,11.4054145519497,3.63414441665507,1.11431838768939,1.08952455795004,3.33553235687755,3.13840432418682,0.246039821166454
"61",3,2002,9462.4,9619.2125,11.8502761256519,3.6448280725254,1.11490475204292,1.09032116063379,3.34289400602546,3.251257916657,0.2305433215314
"62",4,1968,5430.5,7223.7875,7.28278375505559,3.26052710452314,0.651794810395363,0.66088322142173,4.93359038153353,2.23362159601514,0.51832137569594
"63",4,1970,7327.6,7682.4,8.66180933281699,3.39500836877979,0.737695443926115,0.731840532586894,4.63900018871486,2.55133666605074,0.472235604756861
"64",4,1972,7606.5,7846.2125,8.41942907981304,3.49657522018072,0.804188673008991,0.796566016558836,4.38956112549958,2.40790732349178,0.428998129503756
"65",4,1974,6991.8,7966.8375,8.31151040307453,3.51279400363192,0.859813109810868,0.855006493554707,4.10849979516226,2.36606826203904,0.386552357828245
"66",4,1976,8634.8,8129.725,9.27662030640892,3.70967362598675,0.919584943735401,0.908027366344393,4.08542050987013,2.50065672662549,0.400895433474447
"67",4,1978,7814.5,8268.5875,7.94691967442864,3.55292401831924,0.933965193379902,0.918997406082882,3.86608710188113,2.23672660418672,0.413192350745981
"68",4,1980,6280.6,8480.7625,7.67020756769092,3.65365928106944,0.997330063677987,0.981373558547908,3.72300562741428,2.09932207073392,0.438981840136086
"69",4,1982,7704,8927.775,11.7933077372256,3.89875388218335,0.997222203829765,0.981526169038713,3.97213442205185,3.02489156628198,0.410210546241727
"70",4,1984,9099.4,9115.0875,15.8717272246685,3.92083237903693,1.0500900749309,1.03124269000569,3.80204622736796,4.04805043682257,0.366180611650226
"71",4,1986,8638.1,9178.8875,15.2961694508496,4.07726982123885,1.13144976095969,1.10955705859111,3.67468242364756,3.75157154701182,0.310649312696904
"72",4,1988,8571.5,9189.3,15.5753162007593,4.2061406965358,1.15336746765576,1.13406773914204,3.70889723017593,3.70299457970752,0.289066386993691
"73",4,1990,8294.9,9412.775,14.320318376917,4.16151475166512,1.0929309088674,1.065545544182,3.90552499082509,3.4411312302058,0.316726951365138
"74",4,1992,9745.7,9639.70625,18.7546261513502,4.14243659713738,1.06681436186445,1.03505915431683,4.00212546293695,4.52743831114048,0.352128634583238
"75",4,1994,9511.9,9851.997625,11.9811813078998,4.11432779883165,1.04402976423537,1.01463506346368,4.05498286722568,2.9120628918537,0.351341451360959
"76",4,1996,9856.7,9930.760125,12.1819036341495,4.15331667230467,1.05799462522932,1.03576237972233,4.00991265334246,2.93305437444283,0.382274668685374
"77",4,1998,9202.5,9887.872625,11.9335975578777,4.00217409446072,1.08871966600942,1.07251394430755,3.73158234044653,2.98177872231861,0.399978925040071
"78",4,2000,9609.8,9949.797625,12.6341826723397,4.12576930428881,1.14372972411775,1.13203999580805,3.64454376132164,3.06226105739994,0.377566141914274
"79",4,2002,8721.4,9849.248875,11.1576293534647,4.11778267155901,1.23058502046603,1.21214297185205,3.39710971987686,2.70962074577879,0.312641458760811
"80",5,1964,6016.8,7271.1375,8.94086191606318,3.4987841256744,0.610817449432279,0.61640179801199,5.67614198556627,2.55541971007994,0.55443682653413
"81",5,1966,7326.2,7599.35,9.95994275554465,3.5393768206279,0.671270887848805,0.664186646202719,5.32888886108023,2.81403853285611,0.479683682397446
"82",5,1968,7995.5,7577.525,9.78586474214251,3.45199769102815,0.703800014236039,0.691024376000971,4.99547890192414,2.83484104510739,0.443303046407702
"83",5,1970,8115,7496.0125,9.88654652665121,3.44220612337142,0.751846818597015,0.735243791088157,4.68172076404341,2.87215412799509,0.408888942911399
"84",5,1972,8049.4,7683.0375,7.26203376442173,3.25979063872044,0.779435714353767,0.758525676591286,4.29753499363332,2.22776078873344,0.408338564066627
"85",5,1974,6991.4,7651.5875,7.29257273508237,3.41574726990258,0.830144029713423,0.812771807071606,4.20259073971749,2.13498603931852,0.406775961197532
"86",5,1976,7452.3,7925.6125,6.98326306372136,3.36401182003926,0.863460549875203,0.835016506118061,4.02867703259943,2.07587352164532,0.407657499079729
"87",5,1978,6222.5,8060.2125,7.10373644580748,3.47253615172124,0.862956875931126,0.849328039085563,4.08856883549963,2.04569114198749,0.386272336682178
"88",5,1980,8642.5,8483.1625,8.74081328921292,3.7350709640326,0.886848665910857,0.868844686378955,4.29889371781634,2.34020005868264,0.366201501467277
"89",5,1982,7151.6,8555.2625,8.51380974761993,3.64166647484782,0.910568879463405,0.892916115377379,4.07839707687291,2.33788838336045,0.368359412986461
"90",5,1984,7343.4,8437.2125,6.88896401974634,3.44909344260605,0.916318010451528,0.906122742564692,3.80643071913604,1.99732600301522,0.379560897216359
"91",5,1986,9611.2,8676,7.44193721974037,3.43092669106956,0.91897650168423,0.902477639106681,3.80167501376064,2.16907497298358,0.39347637396939
"92",5,1988,7797.8,8668,7.4808683492678,3.38935071542215,0.920492936773512,0.909069111342914,3.72837518416533,2.20716856335596,0.374162266739523
"93",5,1990,9183.6,9007.85,7.14240272748778,3.33150704763625,0.922545625708958,0.904428918222117,3.68354768463747,2.14389542791314,0.349846884224958
"94",5,1992,8529.1,9120.025,6.92123340957191,3.2549926637698,0.949409764905037,0.923696381304631,3.52387724976517,2.12634378154205,0.32235826507277
"95",5,1994,9606.1,9285.4025,7.05604197430945,3.28302577768342,0.947933023906946,0.926702021629106,3.54269840904414,2.14924964106994,0.290859598043493
"96",5,1996,9219.3,9134.79,6.80338758113103,3.1412364082946,0.968007992877678,0.947776752946688,3.3143210133909,2.16583112406514,0.272776980519507
"97",5,1998,6207.2,9231.59,6.70355261253045,3.16098286675618,1.01506070228365,0.999207494908605,3.16348994864706,2.12071779414916,0.281418024988162
"98",5,2000,9253.7,9685.065,15.185837125263,3.63826274552305,1.07812846014659,1.05587507388082,3.44573220404833,4.1739253559819,0.273892904585633
"99",5,2002,9547.2,9696.24,15.3941389670258,3.59227004967373,1.11497851633583,1.09005736075415,3.29548717251764,4.28535125537792,0.253464027626392
"100",6,1958,7088.3,7488.275,5.28540940233744,3.66678763850021,0.638556354753613,0.639914947186972,5.73011718919708,1.44142773550401,0.561800678085198
"101",6,1960,6508,7583.55,5.37207444738445,3.5245482721541,0.670698804836445,0.684003026522714,5.15282555118499,1.52418807534198,0.471992723804131
"102",6,1962,5868.4,7754.075,5.76961923139452,3.53992383386848,0.722548616156221,0.7352907135806,4.81431870209585,1.62987100914242,0.431118332163229
